user_id,item_id,behavior_type,time
10001082,275221686,1,2014-12-03 01
10001082,275221686,1,2014-12-13 14
10001082,275221686,1,2014-12-08 07
10001082,275221686,1,2014-12-08 07
10001082,275221686,1,2014-12-08 00
10001082,275221686,1,2014-12-17 05
10001082,275221686,1,2014-12-13 14
10001082,275221686,1,2014-12-13 14
10001082,275221686,1,2014-12-14 16
10001082,275221686,4,2014-12-02 22
10001082,275221686,1,2014-12-03 01
10001082,275221686,1,2014-12-03 01
10001082,275221686,1,2014-12-08 00
10001082,275221686,1,2014-12-13 14
10001082,275221686,1,2014-12-02 22
10001082,275221686,1,2014-12-17 05
10001082,275221686,1,2014-12-07 23
10001082,275221686,1,2014-12-15 08
10001082,275221686,1,2014-12-02 22
10001082,275221686,1,2014-12-02 22
10001082,275221686,1,2014-12-08 00
10001082,275221686,1,2014-12-13 14
10001082,275221686,1,2014-12-07 23
10001082,275221686,1,2014-12-13 14
10001082,275221686,1,2014-12-15 08
10001082,275221686,1,2014-12-03 01
10001082,275221686,1,2014-12-07 23
10001082,275221686,1,2014-12-13 14
10001082,275221686,1,2014-12-14 16
10001082,275221686,1,2014-12-13 14
10001082,275221686,1,2014-12-08 00
108815357,275221686,1,2014-11-30 05
108815357,275221686,1,2014-11-30 05
10001082,97441652,1,2014-11-20 21
10001082,125083630,1,2014-12-14 03
10001082,236453039,1,2014-12-08 07
10001082,236453039,1,2014-12-08 07
10001082,236453039,1,2014-12-08 07
10001082,326973863,1,2014-12-02 22
10001082,326973863,1,2014-12-02 22
10001082,326973863,1,2014-12-02 22
100112527,326973863,1,2014-11-20 19
100112527,326973863,1,2014-11-20 19
10001082,195429067,1,2014-11-20 21
10001082,195429067,1,2014-11-20 21
10001082,195429067,1,2014-11-20 21
110950984,195429067,1,2014-12-18 01
10001082,50228869,1,2014-12-08 07
100112527,50228869,1,2014-11-20 19
100112527,50228869,1,2014-11-20 19
100112527,50228869,1,2014-11-20 19
10001082,167022568,1,2014-11-20 21
10001082,262112219,1,2014-11-22 12
10001082,262112219,1,2014-11-22 12
100233331,262112219,1,2014-11-24 15
100233331,262112219,1,2014-11-24 15
103490614,262112219,1,2014-12-12 22
103490614,262112219,1,2014-12-12 22
103685659,262112219,1,2014-12-07 17
103685659,262112219,1,2014-12-07 17
103685659,262112219,1,2014-12-18 15
103685659,262112219,1,2014-12-18 15
108754127,262112219,4,2014-12-12 11
108754127,262112219,1,2014-12-12 11
108754127,262112219,1,2014-12-11 19
108754127,262112219,1,2014-12-12 00
108754127,262112219,3,2014-12-11 15
108754127,262112219,1,2014-12-11 18
108754127,262112219,1,2014-12-11 15
108754127,262112219,1,2014-12-12 00
108754127,262112219,1,2014-12-11 15
108754127,262112219,1,2014-12-12 00
108754127,262112219,1,2014-12-11 19
108754127,262112219,1,2014-12-12 11
108754127,262112219,3,2014-12-11 15
109914849,262112219,1,2014-12-01 10
109914849,262112219,1,2014-12-01 09
11024946,262112219,1,2014-12-07 16
11024946,262112219,1,2014-12-07 16
110321077,262112219,1,2014-12-05 14
110321077,262112219,1,2014-12-05 14
111246442,262112219,1,2014-12-10 22
111246442,262112219,1,2014-12-10 22
10001082,73655468,1,2014-11-20 21
100112527,73655468,1,2014-11-28 12
100112527,73655468,1,2014-11-28 12
10001082,288179656,1,2014-12-02 22
10001082,265860266,1,2014-11-22 12
10001082,21836842,1,2014-11-20 21
100029775,210028911,1,2014-12-15 06
100029775,210028911,1,2014-12-15 06
100029775,210028911,1,2014-12-15 06
100029775,311703684,1,2014-12-14 11
100029775,311703684,1,2014-12-14 11
109328066,311703684,1,2014-12-14 01
109328066,311703684,1,2014-12-14 01
109859946,311703684,1,2014-12-12 14
109859946,311703684,1,2014-12-12 14
109859946,311703684,1,2014-12-12 14
109859946,311703684,1,2014-12-10 23
109859946,311703684,1,2014-12-10 23
109859946,311703684,3,2014-12-12 14
110714353,311703684,1,2014-12-14 00
110714353,311703684,1,2014-12-14 00
111246442,311703684,1,2014-12-17 17
100029775,263097356,1,2014-12-15 06
100029775,263097356,1,2014-12-15 06
104328850,263097356,1,2014-12-13 21
104328850,263097356,1,2014-12-13 21
104328850,263097356,1,2014-12-13 21
100068031,174737964,1,2014-11-26 23
104982265,174737964,1,2014-11-24 21
100068031,254127882,1,2014-12-11 23
100068031,254127882,1,2014-12-11 19
100068031,254127882,1,2014-12-13 13
100068031,254127882,1,2014-12-11 23
100068031,254127882,1,2014-12-11 19
100068031,254127882,1,2014-12-11 19
100068031,254127882,1,2014-12-11 23
100068031,254127882,1,2014-12-13 13
100068031,254127882,1,2014-12-11 23
100068031,254127882,1,2014-12-11 23
100068031,254127882,4,2014-12-11 19
100068031,254127882,1,2014-12-11 19
100068031,254127882,1,2014-12-11 23
107808446,254127882,1,2014-11-19 21
107808446,254127882,1,2014-11-19 21
108883904,254127882,1,2014-11-21 00
100068031,354519206,1,2014-11-26 23
100068031,45395880,1,2014-12-11 18
100068031,45395880,1,2014-12-11 18
100068031,80207620,1,2014-11-25 23
100068031,36925766,1,2014-12-12 11
100068031,36925766,1,2014-12-12 08
100068031,36925766,4,2014-12-11 18
100068031,36925766,1,2014-12-12 08
100068031,36925766,1,2014-12-11 18
100068031,36925766,1,2014-12-11 18
100068031,396381058,1,2014-12-11 00
100068031,396381058,1,2014-12-11 00
100068031,396381058,1,2014-12-11 00
100068031,388230080,1,2014-11-25 23
100068031,388230080,1,2014-11-25 23
100068031,388230080,1,2014-11-25 23
108883904,388230080,1,2014-12-13 21
100068031,144421765,1,2014-12-11 09
100068031,144421765,1,2014-12-11 09
100068031,144421765,1,2014-12-11 09
100068031,144421765,1,2014-12-11 09
100068031,226736287,1,2014-12-01 07
100068031,226736287,1,2014-12-01 01
100068031,226736287,1,2014-12-01 01
100068031,331212270,1,2014-12-11 13
107524721,331212270,1,2014-12-16 19
107524721,331212270,1,2014-12-16 19
100068031,331368501,1,2014-12-11 09
100068031,23465458,1,2014-12-11 00
100068031,23465458,1,2014-12-11 00
100068031,23465458,1,2014-12-11 00
100068031,104859227,1,2014-12-01 01
100068031,255364532,1,2014-12-01 00
100068031,255364532,1,2014-12-01 00
100068031,255364532,1,2014-12-01 00
100068031,318618469,1,2014-11-25 23
100068031,318618469,1,2014-11-25 23
100068031,371145374,1,2014-12-01 00
100068031,134638217,1,2014-12-01 01
100068031,97781635,1,2014-11-25 23
100068031,97781635,1,2014-11-27 13
100068031,97781635,1,2014-11-28 12
100068031,97781635,1,2014-11-25 23
100068031,97781635,1,2014-11-28 12
100068031,97781635,1,2014-11-28 12
100068031,97781635,1,2014-11-26 23
100068031,97781635,4,2014-11-25 23
100068031,97781635,1,2014-11-27 13
100068031,97781635,1,2014-11-26 23
100068031,97781635,1,2014-11-27 13
100068031,158620708,1,2014-12-01 01
100068031,158620708,1,2014-12-01 01
100068031,158620708,1,2014-12-01 01
100068031,102155101,1,2014-12-01 00
100068031,102155101,1,2014-12-01 00
100068031,102155101,1,2014-12-01 00
100068031,303580397,1,2014-12-11 19
100068031,303580397,1,2014-12-11 19
100068031,303580397,1,2014-12-11 18
100068031,303580397,1,2014-12-11 18
100068031,303580397,1,2014-12-11 18
100068031,303580397,1,2014-12-11 18
100068031,303580397,1,2014-12-11 18
100068031,247817092,1,2014-11-25 23
100068031,247817092,1,2014-11-25 23
100068031,247817092,1,2014-11-25 23
105055586,247817092,1,2014-11-29 10
105055586,247817092,1,2014-11-29 10
105055586,247817092,1,2014-11-29 10
100068031,37252707,1,2014-11-25 23
100068031,37252707,1,2014-12-11 01
100068031,37252707,1,2014-12-11 01
100068031,37252707,1,2014-12-11 01
100068031,37252707,1,2014-12-01 00
108883904,37252707,1,2014-11-18 23
108883904,37252707,1,2014-12-12 15
108883904,37252707,1,2014-11-18 23
108883904,37252707,1,2014-12-08 22
100068031,176277477,1,2014-12-11 01
100068031,176277477,1,2014-12-11 01
100068031,83285155,1,2014-11-26 23
108005192,83285155,1,2014-12-11 10
100068031,340626017,1,2014-11-25 23
100068031,340626017,1,2014-12-11 01
100068031,244612308,1,2014-11-26 23
100068031,244612308,1,2014-11-26 23
100068031,217620949,1,2014-12-11 09
100068031,217620949,1,2014-12-11 18
100068031,217620949,1,2014-12-11 23
100068031,217620949,1,2014-12-11 18
100068031,217620949,1,2014-12-11 09
100068031,217620949,1,2014-12-11 23
100068031,217620949,1,2014-12-11 23
100068031,217620949,4,2014-12-11 09
100068031,217620949,1,2014-12-11 09
100068031,217620949,1,2014-12-11 23
100068031,217620949,1,2014-12-11 09
100068031,217620949,1,2014-12-11 18
100068031,332024681,1,2014-12-11 18
100068031,332024681,1,2014-12-11 18
100068031,35891330,1,2014-12-11 09
100068031,35891330,1,2014-12-11 09
100068031,35891330,1,2014-12-11 09
100068031,35891330,1,2014-12-11 09
100068031,35891330,1,2014-12-11 09
100068031,251434153,1,2014-11-25 23
100068031,1391883,1,2014-12-11 18
100068031,1391883,1,2014-12-11 18
100068031,361535221,1,2014-12-11 09
100068031,315643365,1,2014-12-11 09
